context;influencer;regular_node_set_unique;regular_node_set_grouped;new_activations
0.0024029412026916885 0.0036095546661002675 0.012475371503455967 0.0014183959889016774 0.001964104582176307 0.00022586823627186449 0.006475525767746548 0.005930006584892955 -0.007881821503911746 0.005136236648423909;7;[1, 2, 3, 4, 5, 6, 9];[1, 2, 3, 4, 5, 6, 9];7
0.0024029412026916885 0.0036095546661002675 0.012475371503455967 0.0014183959889016774 0.001964104582176307 0.00022586823627186449 0.006475525767746548 0.005930006584892955 -0.007881821503911746 0.005136236648423909;8;[1, 2, 3, 4, 5, 6, 9];[1, 2, 3, 4, 5, 6, 9];7
0.0024029412026916885 0.0036095546661002675 0.012475371503455967 0.0014183959889016774 0.001964104582176307 0.00022586823627186449 0.006475525767746548 0.005930006584892955 -0.007881821503911746 0.005136236648423909;9;[1, 2, 3, 4, 5, 6, 9];[1, 2, 3, 4, 5, 6, 9];7
0.004730298973575553 0.0022749436058635553 0.012675261383579217 0.0001174068816378604 0.00015223150046366206 -0.007774270753757762 0.007844763601651695 -0.009497551312022035 -0.018509170677409804 0.0075547352075607584;0;[0, 9, 5];[0, 9, 5];3
0.004730298973575553 0.0022749436058635553 0.012675261383579217 0.0001174068816378604 0.00015223150046366206 -0.007774270753757762 0.007844763601651695 -0.009497551312022035 -0.018509170677409804 0.0075547352075607584;1;[0, 9, 5];[0, 9, 5];3
0.004730298973575553 0.0022749436058635553 0.012675261383579217 0.0001174068816378604 0.00015223150046366206 -0.007774270753757762 0.007844763601651695 -0.009497551312022035 -0.018509170677409804 0.0075547352075607584;2;[0, 9, 5];[0, 9, 5];3
0.004730298973575553 0.0022749436058635553 0.012675261383579217 0.0001174068816378604 0.00015223150046366206 -0.007774270753757762 0.007844763601651695 -0.009497551312022035 -0.018509170677409804 0.0075547352075607584;3;[0, 9, 5];[0, 9, 5];3
0.004730298973575553 0.0022749436058635553 0.012675261383579217 0.0001174068816378604 0.00015223150046366206 -0.007774270753757762 0.007844763601651695 -0.009497551312022035 -0.018509170677409804 0.0075547352075607584;4;[0, 9, 5];[0, 9, 5];3
0.004730298973575553 0.0022749436058635553 0.012675261383579217 0.0001174068816378604 0.00015223150046366206 -0.007774270753757762 0.007844763601651695 -0.009497551312022035 -0.018509170677409804 0.0075547352075607584;5;[0, 9, 5];[0, 9, 5];3
0.004730298973575553 0.0022749436058635553 0.012675261383579217 0.0001174068816378604 0.00015223150046366206 -0.007774270753757762 0.007844763601651695 -0.009497551312022035 -0.018509170677409804 0.0075547352075607584;6;[0, 9, 5];[0, 9, 5];3
0.004730298973575553 0.0022749436058635553 0.012675261383579217 0.0001174068816378604 0.00015223150046366206 -0.007774270753757762 0.007844763601651695 -0.009497551312022035 -0.018509170677409804 0.0075547352075607584;7;[0, 9, 5];[0, 9, 5];3
0.004730298973575553 0.0022749436058635553 0.012675261383579217 0.0001174068816378604 0.00015223150046366206 -0.007774270753757762 0.007844763601651695 -0.009497551312022035 -0.018509170677409804 0.0075547352075607584;8;[0, 9, 5];[0, 9, 5];3
0.004730298973575553 0.0022749436058635553 0.012675261383579217 0.0001174068816378604 0.00015223150046366206 -0.007774270753757762 0.007844763601651695 -0.009497551312022035 -0.018509170677409804 0.0075547352075607584;9;[0, 9, 5];[0, 9, 5];3
0.00224372500667398 -0.0009071045372872621 0.008458822818361345 0.00013831994927424596 0.00225873116623565 -0.008481047840699429 0.005133104319915827 0.0013544824489686968 -0.01348667164323838 0.005314527443675355;0;[0, 9, 2, 5];[0, 9, 2, 5];4
0.00224372500667398 -0.0009071045372872621 0.008458822818361345 0.00013831994927424596 0.00225873116623565 -0.008481047840699429 0.005133104319915827 0.0013544824489686968 -0.01348667164323838 0.005314527443675355;1;[0, 9, 2, 5];[0, 9, 2, 5];4
0.00224372500667398 -0.0009071045372872621 0.008458822818361345 0.00013831994927424596 0.00225873116623565 -0.008481047840699429 0.005133104319915827 0.0013544824489686968 -0.01348667164323838 0.005314527443675355;2;[0, 9, 2, 5];[0, 9, 2, 5];4
0.00224372500667398 -0.0009071045372872621 0.008458822818361345 0.00013831994927424596 0.00225873116623565 -0.008481047840699429 0.005133104319915827 0.0013544824489686968 -0.01348667164323838 0.005314527443675355;3;[0, 9, 2, 5];[0, 9, 2, 5];4
0.00224372500667398 -0.0009071045372872621 0.008458822818361345 0.00013831994927424596 0.00225873116623565 -0.008481047840699429 0.005133104319915827 0.0013544824489686968 -0.01348667164323838 0.005314527443675355;4;[0, 9, 2, 5];[0, 9, 2, 5];4
0.00224372500667398 -0.0009071045372872621 0.008458822818361345 0.00013831994927424596 0.00225873116623565 -0.008481047840699429 0.005133104319915827 0.0013544824489686968 -0.01348667164323838 0.005314527443675355;5;[0, 9, 2, 5];[0, 9, 2, 5];4
0.00224372500667398 -0.0009071045372872621 0.008458822818361345 0.00013831994927424596 0.00225873116623565 -0.008481047840699429 0.005133104319915827 0.0013544824489686968 -0.01348667164323838 0.005314527443675355;6;[0, 9, 2, 5];[0, 9, 2, 5];4
0.00224372500667398 -0.0009071045372872621 0.008458822818361345 0.00013831994927424596 0.00225873116623565 -0.008481047840699429 0.005133104319915827 0.0013544824489686968 -0.01348667164323838 0.005314527443675355;7;[0, 9, 2, 5];[0, 9, 2, 5];4
0.00224372500667398 -0.0009071045372872621 0.008458822818361345 0.00013831994927424596 0.00225873116623565 -0.008481047840699429 0.005133104319915827 0.0013544824489686968 -0.01348667164323838 0.005314527443675355;8;[0, 9, 2, 5];[0, 9, 2, 5];4
0.00224372500667398 -0.0009071045372872621 0.008458822818361345 0.00013831994927424596 0.00225873116623565 -0.008481047840699429 0.005133104319915827 0.0013544824489686968 -0.01348667164323838 0.005314527443675355;9;[0, 9, 2, 5];[0, 9, 2, 5];4
0.001151843337815528 0.0030282438919123854 0.014328919826400366 -0.000899593450264069 0.004664639979144658 0.005678975021875377 0.006402338529893692 0.006769507855187662 -0.003750038076622264 0.005984873943837643;0;[1, 3, 4, 5, 6, 7, 8];[1, 3, 4, 5, 6, 7, 8];7
0.001151843337815528 0.0030282438919123854 0.014328919826400366 -0.000899593450264069 0.004664639979144658 0.005678975021875377 0.006402338529893692 0.006769507855187662 -0.003750038076622264 0.005984873943837643;1;[1, 3, 4, 5, 6, 7, 8];[1, 3, 4, 5, 6, 7, 8];7
0.001151843337815528 0.0030282438919123854 0.014328919826400366 -0.000899593450264069 0.004664639979144658 0.005678975021875377 0.006402338529893692 0.006769507855187662 -0.003750038076622264 0.005984873943837643;2;[1, 3, 4, 5, 6, 7, 8];[1, 3, 4, 5, 6, 7, 8];7
0.001151843337815528 0.0030282438919123854 0.014328919826400366 -0.000899593450264069 0.004664639979144658 0.005678975021875377 0.006402338529893692 0.006769507855187662 -0.003750038076622264 0.005984873943837643;3;[1, 3, 4, 5, 6, 7, 8];[1, 3, 4, 5, 6, 7, 8];7
0.001151843337815528 0.0030282438919123854 0.014328919826400366 -0.000899593450264069 0.004664639979144658 0.005678975021875377 0.006402338529893692 0.006769507855187662 -0.003750038076622264 0.005984873943837643;4;[1, 3, 4, 5, 6, 7, 8];[1, 3, 4, 5, 6, 7, 8];7
0.001151843337815528 0.0030282438919123854 0.014328919826400366 -0.000899593450264069 0.004664639979144658 0.005678975021875377 0.006402338529893692 0.006769507855187662 -0.003750038076622264 0.005984873943837643;5;[1, 3, 4, 5, 6, 7, 8];[1, 3, 4, 5, 6, 7, 8];7
0.001151843337815528 0.0030282438919123854 0.014328919826400366 -0.000899593450264069 0.004664639979144658 0.005678975021875377 0.006402338529893692 0.006769507855187662 -0.003750038076622264 0.005984873943837643;6;[1, 3, 4, 5, 6, 7, 8];[1, 3, 4, 5, 6, 7, 8];7
0.001151843337815528 0.0030282438919123854 0.014328919826400366 -0.000899593450264069 0.004664639979144658 0.005678975021875377 0.006402338529893692 0.006769507855187662 -0.003750038076622264 0.005984873943837643;7;[1, 3, 4, 5, 6, 7, 8];[1, 3, 4, 5, 6, 7, 8];7
0.001151843337815528 0.0030282438919123854 0.014328919826400366 -0.000899593450264069 0.004664639979144658 0.005678975021875377 0.006402338529893692 0.006769507855187662 -0.003750038076622264 0.005984873943837643;8;[1, 3, 4, 5, 6, 7, 8];[1, 3, 4, 5, 6, 7, 8];7
0.001151843337815528 0.0030282438919123854 0.014328919826400366 -0.000899593450264069 0.004664639979144658 0.005678975021875377 0.006402338529893692 0.006769507855187662 -0.003750038076622264 0.005984873943837643;9;[1, 3, 4, 5, 6, 7, 8];[1, 3, 4, 5, 6, 7, 8];7
0.0033131162501418123 0.0006666443884742801 0.012242852912443026 0.0002864157507947773 0.00419129879435034 -0.00130218082150364 0.0030426089354475662 -0.005412700192838083 -0.0063451144409909736 0.008675944951588388;0;[3, 5, 7, 8, 9];[3, 5, 7, 8, 9];5
0.0033131162501418123 0.0006666443884742801 0.012242852912443026 0.0002864157507947773 0.00419129879435034 -0.00130218082150364 0.0030426089354475662 -0.005412700192838083 -0.0063451144409909736 0.008675944951588388;1;[3, 5, 7, 8, 9];[3, 5, 7, 8, 9];5
0.0033131162501418123 0.0006666443884742801 0.012242852912443026 0.0002864157507947773 0.00419129879435034 -0.00130218082150364 0.0030426089354475662 -0.005412700192838083 -0.0063451144409909736 0.008675944951588388;2;[3, 5, 7, 8, 9];[3, 5, 7, 8, 9];5
0.0033131162501418123 0.0006666443884742801 0.012242852912443026 0.0002864157507947773 0.00419129879435034 -0.00130218082150364 0.0030426089354475662 -0.005412700192838083 -0.0063451144409909736 0.008675944951588388;3;[3, 5, 7, 8, 9];[3, 5, 7, 8, 9];5
0.0033131162501418123 0.0006666443884742801 0.012242852912443026 0.0002864157507947773 0.00419129879435034 -0.00130218082150364 0.0030426089354475662 -0.005412700192838083 -0.0063451144409909736 0.008675944951588388;4;[3, 5, 7, 8, 9];[3, 5, 7, 8, 9];5
0.0033131162501418123 0.0006666443884742801 0.012242852912443026 0.0002864157507947773 0.00419129879435034 -0.00130218082150364 0.0030426089354475662 -0.005412700192838083 -0.0063451144409909736 0.008675944951588388;5;[3, 5, 7, 8, 9];[3, 5, 7, 8, 9];5
0.0033131162501418123 0.0006666443884742801 0.012242852912443026 0.0002864157507947773 0.00419129879435034 -0.00130218082150364 0.0030426089354475662 -0.005412700192838083 -0.0063451144409909736 0.008675944951588388;6;[3, 5, 7, 8, 9];[3, 5, 7, 8, 9];5
0.0033131162501418123 0.0006666443884742801 0.012242852912443026 0.0002864157507947773 0.00419129879435034 -0.00130218082150364 0.0030426089354475662 -0.005412700192838083 -0.0063451144409909736 0.008675944951588388;7;[3, 5, 7, 8, 9];[3, 5, 7, 8, 9];5
0.0033131162501418123 0.0006666443884742801 0.012242852912443026 0.0002864157507947773 0.00419129879435034 -0.00130218082150364 0.0030426089354475662 -0.005412700192838083 -0.0063451144409909736 0.008675944951588388;8;[3, 5, 7, 8, 9];[3, 5, 7, 8, 9];5
0.0033131162501418123 0.0006666443884742801 0.012242852912443026 0.0002864157507947773 0.00419129879435034 -0.00130218082150364 0.0030426089354475662 -0.005412700192838083 -0.0063451144409909736 0.008675944951588388;9;[3, 5, 7, 8, 9];[3, 5, 7, 8, 9];5
0.008679469411756568 0.0018907487409213885 0.012706056722160807 0.0021774543006469306 0.005190241065047685 0.004110800519022883 0.0049422102353951615 -0.001003333089167624 0.007801064827572835 0.006265024095994743;0;[0, 1, 3, 5, 9];[0, 1, 3, 5, 9];5
0.008679469411756568 0.0018907487409213885 0.012706056722160807 0.0021774543006469306 0.005190241065047685 0.004110800519022883 0.0049422102353951615 -0.001003333089167624 0.007801064827572835 0.006265024095994743;1;[0, 1, 3, 5, 9];[0, 1, 3, 5, 9];5
0.008679469411756568 0.0018907487409213885 0.012706056722160807 0.0021774543006469306 0.005190241065047685 0.004110800519022883 0.0049422102353951615 -0.001003333089167624 0.007801064827572835 0.006265024095994743;2;[0, 1, 3, 5, 9];[0, 1, 3, 5, 9];5
0.008679469411756568 0.0018907487409213885 0.012706056722160807 0.0021774543006469306 0.005190241065047685 0.004110800519022883 0.0049422102353951615 -0.001003333089167624 0.007801064827572835 0.006265024095994743;3;[0, 1, 3, 5, 9];[0, 1, 3, 5, 9];5
0.008679469411756568 0.0018907487409213885 0.012706056722160807 0.0021774543006469306 0.005190241065047685 0.004110800519022883 0.0049422102353951615 -0.001003333089167624 0.007801064827572835 0.006265024095994743;4;[0, 1, 3, 5, 9];[0, 1, 3, 5, 9];5
0.008679469411756568 0.0018907487409213885 0.012706056722160807 0.0021774543006469306 0.005190241065047685 0.004110800519022883 0.0049422102353951615 -0.001003333089167624 0.007801064827572835 0.006265024095994743;5;[0, 1, 3, 5, 9];[0, 1, 3, 5, 9];5
0.008679469411756568 0.0018907487409213885 0.012706056722160807 0.0021774543006469306 0.005190241065047685 0.004110800519022883 0.0049422102353951615 -0.001003333089167624 0.007801064827572835 0.006265024095994743;6;[0, 1, 3, 5, 9];[0, 1, 3, 5, 9];5
0.008679469411756568 0.0018907487409213885 0.012706056722160807 0.0021774543006469306 0.005190241065047685 0.004110800519022883 0.0049422102353951615 -0.001003333089167624 0.007801064827572835 0.006265024095994743;7;[0, 1, 3, 5, 9];[0, 1, 3, 5, 9];5
0.008679469411756568 0.0018907487409213885 0.012706056722160807 0.0021774543006469306 0.005190241065047685 0.004110800519022883 0.0049422102353951615 -0.001003333089167624 0.007801064827572835 0.006265024095994743;8;[0, 1, 3, 5, 9];[0, 1, 3, 5, 9];5
0.008679469411756568 0.0018907487409213885 0.012706056722160807 0.0021774543006469306 0.005190241065047685 0.004110800519022883 0.0049422102353951615 -0.001003333089167624 0.007801064827572835 0.006265024095994743;9;[0, 1, 3, 5, 9];[0, 1, 3, 5, 9];5
-0.0016774567616274715 -0.0005899971490749944 0.0064375525023228075 0.012760510518661606 0.01153488761489414 0.006506416667123438 0.0020134883030729746 0.00782747343791652 0.012804505044970127 0.0036075890280177656;0;[2, 7];[2, 7];2
-0.0016774567616274715 -0.0005899971490749944 0.0064375525023228075 0.012760510518661606 0.01153488761489414 0.006506416667123438 0.0020134883030729746 0.00782747343791652 0.012804505044970127 0.0036075890280177656;1;[2, 7];[2, 7];2
-0.0016774567616274715 -0.0005899971490749944 0.0064375525023228075 0.012760510518661606 0.01153488761489414 0.006506416667123438 0.0020134883030729746 0.00782747343791652 0.012804505044970127 0.0036075890280177656;2;[2, 7];[2, 7];2
-0.0016774567616274715 -0.0005899971490749944 0.0064375525023228075 0.012760510518661606 0.01153488761489414 0.006506416667123438 0.0020134883030729746 0.00782747343791652 0.012804505044970127 0.0036075890280177656;3;[2, 7];[2, 7];2
-0.0016774567616274715 -0.0005899971490749944 0.0064375525023228075 0.012760510518661606 0.01153488761489414 0.006506416667123438 0.0020134883030729746 0.00782747343791652 0.012804505044970127 0.0036075890280177656;4;[2, 7];[2, 7];2
-0.0016774567616274715 -0.0005899971490749944 0.0064375525023228075 0.012760510518661606 0.01153488761489414 0.006506416667123438 0.0020134883030729746 0.00782747343791652 0.012804505044970127 0.0036075890280177656;5;[2, 7];[2, 7];2
-0.0016774567616274715 -0.0005899971490749944 0.0064375525023228075 0.012760510518661606 0.01153488761489414 0.006506416667123438 0.0020134883030729746 0.00782747343791652 0.012804505044970127 0.0036075890280177656;6;[2, 7];[2, 7];2
-0.0016774567616274715 -0.0005899971490749944 0.0064375525023228075 0.012760510518661606 0.01153488761489414 0.006506416667123438 0.0020134883030729746 0.00782747343791652 0.012804505044970127 0.0036075890280177656;7;[2, 7];[2, 7];2
-0.0016774567616274715 -0.0005899971490749944 0.0064375525023228075 0.012760510518661606 0.01153488761489414 0.006506416667123438 0.0020134883030729746 0.00782747343791652 0.012804505044970127 0.0036075890280177656;8;[2, 7];[2, 7];2
-0.0016774567616274715 -0.0005899971490749944 0.0064375525023228075 0.012760510518661606 0.01153488761489414 0.006506416667123438 0.0020134883030729746 0.00782747343791652 0.012804505044970127 0.0036075890280177656;9;[2, 7];[2, 7];2
-0.00017615635157948174 0.005063069148477606 0.013416431534505868 0.010150199488802403 0.0066042552719559385 0.010366624601663665 0.0058590775431249355 0.01431352573903113 0.009184592501330946 0.003966487038409849;0;[0, 2, 4, 5, 6, 7, 9];[0, 2, 4, 5, 6, 7, 9];7
-0.00017615635157948174 0.005063069148477606 0.013416431534505868 0.010150199488802403 0.0066042552719559385 0.010366624601663665 0.0058590775431249355 0.01431352573903113 0.009184592501330946 0.003966487038409849;1;[0, 2, 4, 5, 6, 7, 9];[0, 2, 4, 5, 6, 7, 9];7
-0.00017615635157948174 0.005063069148477606 0.013416431534505868 0.010150199488802403 0.0066042552719559385 0.010366624601663665 0.0058590775431249355 0.01431352573903113 0.009184592501330946 0.003966487038409849;2;[0, 2, 4, 5, 6, 7, 9];[0, 2, 4, 5, 6, 7, 9];7
-0.00017615635157948174 0.005063069148477606 0.013416431534505868 0.010150199488802403 0.0066042552719559385 0.010366624601663665 0.0058590775431249355 0.01431352573903113 0.009184592501330946 0.003966487038409849;3;[0, 2, 4, 5, 6, 7, 9];[0, 2, 4, 5, 6, 7, 9];7
-0.00017615635157948174 0.005063069148477606 0.013416431534505868 0.010150199488802403 0.0066042552719559385 0.010366624601663665 0.0058590775431249355 0.01431352573903113 0.009184592501330946 0.003966487038409849;4;[0, 2, 4, 5, 6, 7, 9];[0, 2, 4, 5, 6, 7, 9];7
-0.00017615635157948174 0.005063069148477606 0.013416431534505868 0.010150199488802403 0.0066042552719559385 0.010366624601663665 0.0058590775431249355 0.01431352573903113 0.009184592501330946 0.003966487038409849;5;[0, 2, 4, 5, 6, 7, 9];[0, 2, 4, 5, 6, 7, 9];7
-0.00017615635157948174 0.005063069148477606 0.013416431534505868 0.010150199488802403 0.0066042552719559385 0.010366624601663665 0.0058590775431249355 0.01431352573903113 0.009184592501330946 0.003966487038409849;6;[0, 2, 4, 5, 6, 7, 9];[0, 2, 4, 5, 6, 7, 9];7
-0.00017615635157948174 0.005063069148477606 0.013416431534505868 0.010150199488802403 0.0066042552719559385 0.010366624601663665 0.0058590775431249355 0.01431352573903113 0.009184592501330946 0.003966487038409849;7;[0, 2, 4, 5, 6, 7, 9];[0, 2, 4, 5, 6, 7, 9];7
-0.00017615635157948174 0.005063069148477606 0.013416431534505868 0.010150199488802403 0.0066042552719559385 0.010366624601663665 0.0058590775431249355 0.01431352573903113 0.009184592501330946 0.003966487038409849;8;[0, 2, 4, 5, 6, 7, 9];[0, 2, 4, 5, 6, 7, 9];7
-0.00017615635157948174 0.005063069148477606 0.013416431534505868 0.010150199488802403 0.0066042552719559385 0.010366624601663665 0.0058590775431249355 0.01431352573903113 0.009184592501330946 0.003966487038409849;9;[0, 2, 4, 5, 6, 7, 9];[0, 2, 4, 5, 6, 7, 9];7
-0.003110689613319262 0.005933515097943642 0.003279756060060235 0.01069280915367945 0.0022930557180662835 0.0024707564581985197 0.002683886395458912 0.014418737595071063 -0.0012164461588888508 0.004159360155212144;0;[0, 1, 3, 4, 7, 8, 9];[0, 1, 3, 4, 7, 8, 9];7
-0.003110689613319262 0.005933515097943642 0.003279756060060235 0.01069280915367945 0.0022930557180662835 0.0024707564581985197 0.002683886395458912 0.014418737595071063 -0.0012164461588888508 0.004159360155212144;1;[0, 1, 3, 4, 7, 8, 9];[0, 1, 3, 4, 7, 8, 9];7
-0.003110689613319262 0.005933515097943642 0.003279756060060235 0.01069280915367945 0.0022930557180662835 0.0024707564581985197 0.002683886395458912 0.014418737595071063 -0.0012164461588888508 0.004159360155212144;2;[0, 1, 3, 4, 7, 8, 9];[0, 1, 3, 4, 7, 8, 9];7
-0.003110689613319262 0.005933515097943642 0.003279756060060235 0.01069280915367945 0.0022930557180662835 0.0024707564581985197 0.002683886395458912 0.014418737595071063 -0.0012164461588888508 0.004159360155212144;3;[0, 1, 3, 4, 7, 8, 9];[0, 1, 3, 4, 7, 8, 9];7
-0.003110689613319262 0.005933515097943642 0.003279756060060235 0.01069280915367945 0.0022930557180662835 0.0024707564581985197 0.002683886395458912 0.014418737595071063 -0.0012164461588888508 0.004159360155212144;4;[0, 1, 3, 4, 7, 8, 9];[0, 1, 3, 4, 7, 8, 9];7
-0.003110689613319262 0.005933515097943642 0.003279756060060235 0.01069280915367945 0.0022930557180662835 0.0024707564581985197 0.002683886395458912 0.014418737595071063 -0.0012164461588888508 0.004159360155212144;5;[0, 1, 3, 4, 7, 8, 9];[0, 1, 3, 4, 7, 8, 9];7
-0.003110689613319262 0.005933515097943642 0.003279756060060235 0.01069280915367945 0.0022930557180662835 0.0024707564581985197 0.002683886395458912 0.014418737595071063 -0.0012164461588888508 0.004159360155212144;6;[0, 1, 3, 4, 7, 8, 9];[0, 1, 3, 4, 7, 8, 9];7
-0.003110689613319262 0.005933515097943642 0.003279756060060235 0.01069280915367945 0.0022930557180662835 0.0024707564581985197 0.002683886395458912 0.014418737595071063 -0.0012164461588888508 0.004159360155212144;7;[0, 1, 3, 4, 7, 8, 9];[0, 1, 3, 4, 7, 8, 9];7
-0.003110689613319262 0.005933515097943642 0.003279756060060235 0.01069280915367945 0.0022930557180662835 0.0024707564581985197 0.002683886395458912 0.014418737595071063 -0.0012164461588888508 0.004159360155212144;8;[0, 1, 3, 4, 7, 8, 9];[0, 1, 3, 4, 7, 8, 9];7
-0.003110689613319262 0.005933515097943642 0.003279756060060235 0.01069280915367945 0.0022930557180662835 0.0024707564581985197 0.002683886395458912 0.014418737595071063 -0.0012164461588888508 0.004159360155212144;9;[0, 1, 3, 4, 7, 8, 9];[0, 1, 3, 4, 7, 8, 9];7
-0.007162150098680442 0.002736624607660443 0.004959650434320428 0.00907304984905588 0.002054175177450568 -6.632634269152505e-05 0.0001514438889432368 0.0071477145797418816 0.007476473733182454 0.0012522371353588025;0;[0, 1, 2, 3, 4, 5, 6, 7, 8];[0, 1, 2, 3, 4, 5, 6, 7, 8];9
-0.007162150098680442 0.002736624607660443 0.004959650434320428 0.00907304984905588 0.002054175177450568 -6.632634269152505e-05 0.0001514438889432368 0.0071477145797418816 0.007476473733182454 0.0012522371353588025;1;[0, 1, 2, 3, 4, 5, 6, 7, 8];[0, 1, 2, 3, 4, 5, 6, 7, 8];9
-0.007162150098680442 0.002736624607660443 0.004959650434320428 0.00907304984905588 0.002054175177450568 -6.632634269152505e-05 0.0001514438889432368 0.0071477145797418816 0.007476473733182454 0.0012522371353588025;2;[0, 1, 2, 3, 4, 5, 6, 7, 8];[0, 1, 2, 3, 4, 5, 6, 7, 8];9
-0.007162150098680442 0.002736624607660443 0.004959650434320428 0.00907304984905588 0.002054175177450568 -6.632634269152505e-05 0.0001514438889432368 0.0071477145797418816 0.007476473733182454 0.0012522371353588025;3;[0, 1, 2, 3, 4, 5, 6, 7, 8];[0, 1, 2, 3, 4, 5, 6, 7, 8];9
-0.007162150098680442 0.002736624607660443 0.004959650434320428 0.00907304984905588 0.002054175177450568 -6.632634269152505e-05 0.0001514438889432368 0.0071477145797418816 0.007476473733182454 0.0012522371353588025;4;[0, 1, 2, 3, 4, 5, 6, 7, 8];[0, 1, 2, 3, 4, 5, 6, 7, 8];9
-0.007162150098680442 0.002736624607660443 0.004959650434320428 0.00907304984905588 0.002054175177450568 -6.632634269152505e-05 0.0001514438889432368 0.0071477145797418816 0.007476473733182454 0.0012522371353588025;5;[0, 1, 2, 3, 4, 5, 6, 7, 8];[0, 1, 2, 3, 4, 5, 6, 7, 8];9
-0.007162150098680442 0.002736624607660443 0.004959650434320428 0.00907304984905588 0.002054175177450568 -6.632634269152505e-05 0.0001514438889432368 0.0071477145797418816 0.007476473733182454 0.0012522371353588025;6;[0, 1, 2, 3, 4, 5, 6, 7, 8];[0, 1, 2, 3, 4, 5, 6, 7, 8];9
-0.007162150098680442 0.002736624607660443 0.004959650434320428 0.00907304984905588 0.002054175177450568 -6.632634269152505e-05 0.0001514438889432368 0.0071477145797418816 0.007476473733182454 0.0012522371353588025;7;[0, 1, 2, 3, 4, 5, 6, 7, 8];[0, 1, 2, 3, 4, 5, 6, 7, 8];9
-0.007162150098680442 0.002736624607660443 0.004959650434320428 0.00907304984905588 0.002054175177450568 -6.632634269152505e-05 0.0001514438889432368 0.0071477145797418816 0.007476473733182454 0.0012522371353588025;8;[0, 1, 2, 3, 4, 5, 6, 7, 8];[0, 1, 2, 3, 4, 5, 6, 7, 8];9
-0.007162150098680442 0.002736624607660443 0.004959650434320428 0.00907304984905588 0.002054175177450568 -6.632634269152505e-05 0.0001514438889432368 0.0071477145797418816 0.007476473733182454 0.0012522371353588025;9;[0, 1, 2, 3, 4, 5, 6, 7, 8];[0, 1, 2, 3, 4, 5, 6, 7, 8];9
-0.005861508207771626 0.0018945600120669815 0.002899081217098409 0.009520131085188366 0.003305463041514556 -0.004625210357870157 -0.0017658233307797256 -2.473620579470648e-05 0.0048414143101891405 0.0035030541670977968;0;[8, 1, 4, 7];[8, 1, 4, 7];4
-0.005861508207771626 0.0018945600120669815 0.002899081217098409 0.009520131085188366 0.003305463041514556 -0.004625210357870157 -0.0017658233307797256 -2.473620579470648e-05 0.0048414143101891405 0.0035030541670977968;1;[8, 1, 4, 7];[8, 1, 4, 7];4
-0.005861508207771626 0.0018945600120669815 0.002899081217098409 0.009520131085188366 0.003305463041514556 -0.004625210357870157 -0.0017658233307797256 -2.473620579470648e-05 0.0048414143101891405 0.0035030541670977968;2;[8, 1, 4, 7];[8, 1, 4, 7];4
-0.005861508207771626 0.0018945600120669815 0.002899081217098409 0.009520131085188366 0.003305463041514556 -0.004625210357870157 -0.0017658233307797256 -2.473620579470648e-05 0.0048414143101891405 0.0035030541670977968;3;[8, 1, 4, 7];[8, 1, 4, 7];4
-0.005861508207771626 0.0018945600120669815 0.002899081217098409 0.009520131085188366 0.003305463041514556 -0.004625210357870157 -0.0017658233307797256 -2.473620579470648e-05 0.0048414143101891405 0.0035030541670977968;4;[8, 1, 4, 7];[8, 1, 4, 7];4
-0.005861508207771626 0.0018945600120669815 0.002899081217098409 0.009520131085188366 0.003305463041514556 -0.004625210357870157 -0.0017658233307797256 -2.473620579470648e-05 0.0048414143101891405 0.0035030541670977968;5;[8, 1, 4, 7];[8, 1, 4, 7];4
-0.005861508207771626 0.0018945600120669815 0.002899081217098409 0.009520131085188366 0.003305463041514556 -0.004625210357870157 -0.0017658233307797256 -2.473620579470648e-05 0.0048414143101891405 0.0035030541670977968;6;[8, 1, 4, 7];[8, 1, 4, 7];4
-0.005861508207771626 0.0018945600120669815 0.002899081217098409 0.009520131085188366 0.003305463041514556 -0.004625210357870157 -0.0017658233307797256 -2.473620579470648e-05 0.0048414143101891405 0.0035030541670977968;7;[8, 1, 4, 7];[8, 1, 4, 7];4
-0.005861508207771626 0.0018945600120669815 0.002899081217098409 0.009520131085188366 0.003305463041514556 -0.004625210357870157 -0.0017658233307797256 -2.473620579470648e-05 0.0048414143101891405 0.0035030541670977968;8;[8, 1, 4, 7];[8, 1, 4, 7];4
-0.005861508207771626 0.0018945600120669815 0.002899081217098409 0.009520131085188366 0.003305463041514556 -0.004625210357870157 -0.0017658233307797256 -2.473620579470648e-05 0.0048414143101891405 0.0035030541670977968;9;[8, 1, 4, 7];[8, 1, 4, 7];4
0.00019812749932675012 0.0025062522171024116 0.004511425399442581 0.001998542735028019 0.001306302914689339 -0.008864587518566624 -0.004049958191176417 -0.0021423328248495466 0.0035817875114720456 0.004827306854149893;0;[0, 4, 5];[0, 4, 5];3
0.00019812749932675012 0.0025062522171024116 0.004511425399442581 0.001998542735028019 0.001306302914689339 -0.008864587518566624 -0.004049958191176417 -0.0021423328248495466 0.0035817875114720456 0.004827306854149893;1;[0, 4, 5];[0, 4, 5];3
