context;influencer;regular_node_set_unique;regular_node_set_grouped;new_activations
0.0034689541304862683 0.006080552509849091 0.023681865612165055 -0.002588360960180358 -0.003486733875381609 0.0036975495320905384 0.002514024480491095 -0.009790395052738843 0.0354218737502797 -0.007946708032076866;8;[2, 5, 6];[2, 5, 6];3
0.0034689541304862683 0.006080552509849091 0.023681865612165055 -0.002588360960180358 -0.003486733875381609 0.0036975495320905384 0.002514024480491095 -0.009790395052738843 0.0354218737502797 -0.007946708032076866;9;[2, 5, 6];[2, 5, 6];3
0.004586101005022302 0.0054810337163745835 0.01124445294566374 -0.003502240574793203 -0.0037258730376815707 0.0002854261989416962 0.00499132749406912 -0.006841139085872183 0.03694918159533036 -0.008387417418050047;0;[1, 2, 3, 4, 5, 6, 8];[1, 2, 3, 4, 5, 6, 8];7
0.004586101005022302 0.0054810337163745835 0.01124445294566374 -0.003502240574793203 -0.0037258730376815707 0.0002854261989416962 0.00499132749406912 -0.006841139085872183 0.03694918159533036 -0.008387417418050047;1;[1, 2, 3, 4, 5, 6, 8];[1, 2, 3, 4, 5, 6, 8];7
0.004586101005022302 0.0054810337163745835 0.01124445294566374 -0.003502240574793203 -0.0037258730376815707 0.0002854261989416962 0.00499132749406912 -0.006841139085872183 0.03694918159533036 -0.008387417418050047;2;[1, 2, 3, 4, 5, 6, 8];[1, 2, 3, 4, 5, 6, 8];7
0.004586101005022302 0.0054810337163745835 0.01124445294566374 -0.003502240574793203 -0.0037258730376815707 0.0002854261989416962 0.00499132749406912 -0.006841139085872183 0.03694918159533036 -0.008387417418050047;3;[1, 2, 3, 4, 5, 6, 8];[1, 2, 3, 4, 5, 6, 8];7
0.004586101005022302 0.0054810337163745835 0.01124445294566374 -0.003502240574793203 -0.0037258730376815707 0.0002854261989416962 0.00499132749406912 -0.006841139085872183 0.03694918159533036 -0.008387417418050047;4;[1, 2, 3, 4, 5, 6, 8];[1, 2, 3, 4, 5, 6, 8];7
0.004586101005022302 0.0054810337163745835 0.01124445294566374 -0.003502240574793203 -0.0037258730376815707 0.0002854261989416962 0.00499132749406912 -0.006841139085872183 0.03694918159533036 -0.008387417418050047;5;[1, 2, 3, 4, 5, 6, 8];[1, 2, 3, 4, 5, 6, 8];7
0.004586101005022302 0.0054810337163745835 0.01124445294566374 -0.003502240574793203 -0.0037258730376815707 0.0002854261989416962 0.00499132749406912 -0.006841139085872183 0.03694918159533036 -0.008387417418050047;6;[1, 2, 3, 4, 5, 6, 8];[1, 2, 3, 4, 5, 6, 8];7
0.004586101005022302 0.0054810337163745835 0.01124445294566374 -0.003502240574793203 -0.0037258730376815707 0.0002854261989416962 0.00499132749406912 -0.006841139085872183 0.03694918159533036 -0.008387417418050047;7;[1, 2, 3, 4, 5, 6, 8];[1, 2, 3, 4, 5, 6, 8];7
0.004586101005022302 0.0054810337163745835 0.01124445294566374 -0.003502240574793203 -0.0037258730376815707 0.0002854261989416962 0.00499132749406912 -0.006841139085872183 0.03694918159533036 -0.008387417418050047;8;[1, 2, 3, 4, 5, 6, 8];[1, 2, 3, 4, 5, 6, 8];7
0.004586101005022302 0.0054810337163745835 0.01124445294566374 -0.003502240574793203 -0.0037258730376815707 0.0002854261989416962 0.00499132749406912 -0.006841139085872183 0.03694918159533036 -0.008387417418050047;9;[1, 2, 3, 4, 5, 6, 8];[1, 2, 3, 4, 5, 6, 8];7
0.0013349400538283484 -0.008355624836634722 -0.006989383531103077 -0.01457861239393754 -0.01098177848254649 -0.011212883286684105 -0.0050742813202205635 -0.01538944544293681 0.008529548272425557 -0.010000289524064754;0;[0];[0];1
0.0013349400538283484 -0.008355624836634722 -0.006989383531103077 -0.01457861239393754 -0.01098177848254649 -0.011212883286684105 -0.0050742813202205635 -0.01538944544293681 0.008529548272425557 -0.010000289524064754;1;[0];[0];1
0.0013349400538283484 -0.008355624836634722 -0.006989383531103077 -0.01457861239393754 -0.01098177848254649 -0.011212883286684105 -0.0050742813202205635 -0.01538944544293681 0.008529548272425557 -0.010000289524064754;2;[0];[0];1
0.0013349400538283484 -0.008355624836634722 -0.006989383531103077 -0.01457861239393754 -0.01098177848254649 -0.011212883286684105 -0.0050742813202205635 -0.01538944544293681 0.008529548272425557 -0.010000289524064754;3;[0];[0];1
0.0013349400538283484 -0.008355624836634722 -0.006989383531103077 -0.01457861239393754 -0.01098177848254649 -0.011212883286684105 -0.0050742813202205635 -0.01538944544293681 0.008529548272425557 -0.010000289524064754;4;[0];[0];1
0.0013349400538283484 -0.008355624836634722 -0.006989383531103077 -0.01457861239393754 -0.01098177848254649 -0.011212883286684105 -0.0050742813202205635 -0.01538944544293681 0.008529548272425557 -0.010000289524064754;5;[0];[0];1
0.0013349400538283484 -0.008355624836634722 -0.006989383531103077 -0.01457861239393754 -0.01098177848254649 -0.011212883286684105 -0.0050742813202205635 -0.01538944544293681 0.008529548272425557 -0.010000289524064754;6;[0];[0];1
0.0013349400538283484 -0.008355624836634722 -0.006989383531103077 -0.01457861239393754 -0.01098177848254649 -0.011212883286684105 -0.0050742813202205635 -0.01538944544293681 0.008529548272425557 -0.010000289524064754;7;[0];[0];1
0.0013349400538283484 -0.008355624836634722 -0.006989383531103077 -0.01457861239393754 -0.01098177848254649 -0.011212883286684105 -0.0050742813202205635 -0.01538944544293681 0.008529548272425557 -0.010000289524064754;8;[0];[0];1
0.0013349400538283484 -0.008355624836634722 -0.006989383531103077 -0.01457861239393754 -0.01098177848254649 -0.011212883286684105 -0.0050742813202205635 -0.01538944544293681 0.008529548272425557 -0.010000289524064754;9;[0];[0];1
0.0015451420912538482 -0.004722924357401759 -0.003351614580761253 -0.012898568845845348 -0.0070907208284146424 -0.011157983441078257 -0.005492824254565876 -0.009815179495248526 0.009870598977612378 -0.01153178506750412;0;[2];[2];1
0.0015451420912538482 -0.004722924357401759 -0.003351614580761253 -0.012898568845845348 -0.0070907208284146424 -0.011157983441078257 -0.005492824254565876 -0.009815179495248526 0.009870598977612378 -0.01153178506750412;1;[2];[2];1
0.0015451420912538482 -0.004722924357401759 -0.003351614580761253 -0.012898568845845348 -0.0070907208284146424 -0.011157983441078257 -0.005492824254565876 -0.009815179495248526 0.009870598977612378 -0.01153178506750412;2;[2];[2];1
0.0015451420912538482 -0.004722924357401759 -0.003351614580761253 -0.012898568845845348 -0.0070907208284146424 -0.011157983441078257 -0.005492824254565876 -0.009815179495248526 0.009870598977612378 -0.01153178506750412;3;[2];[2];1
